type_features,accuracy
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.2
['Varianza'],93.43
"['Varianza', 'CF']",96.23
"['Varianza', 'rappA/G']",97.85
"['Varianza', 'rappA/G', 'CF']",96.59
"['Varianza', 'der']",97.49
"['Varianza', 'der', 'CF']",98.2
"['Varianza', 'der', 'rappA/G']",98.2
"['Varianza', 'der', 'rappA/G', 'CF']",98.38
"['Varianza', 'TF']",95.33
"['Varianza', 'TF', 'CF']",96.95
"['Varianza', 'TF', 'rappA/G']",98.03
"['Varianza', 'TF', 'rappA/G', 'CF']",97.85
"['Varianza', 'TF', 'der']",97.85
"['Varianza', 'TF', 'der', 'CF']",98.03
"['Varianza', 'TF', 'der', 'rappA/G']",98.03
"['Varianza', 'TF', 'der', 'rappA/G', 'CF']",98.56
"['Varianza', 'Ampiezza_Media']",97.69
"['Varianza', 'Ampiezza_Media', 'CF']",98.38
"['Varianza', 'Ampiezza_Media', 'rappA/G']",97.85
"['Varianza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.38
"['Varianza', 'Ampiezza_Media', 'der']",97.85
"['Varianza', 'Ampiezza_Media', 'der', 'CF']",98.03
"['Varianza', 'Ampiezza_Media', 'der', 'rappA/G']",98.2
"['Varianza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.03
"['Varianza', 'Ampiezza_Media', 'TF']",98.56
"['Varianza', 'Ampiezza_Media', 'TF', 'CF']",98.74
"['Varianza', 'Ampiezza_Media', 'TF', 'rappA/G']",98.74
"['Varianza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.38
"['Varianza', 'Ampiezza_Media', 'TF', 'der']",97.67
"['Varianza', 'Ampiezza_Media', 'TF', 'der', 'CF']",97.85
"['Varianza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",97.85
"['Varianza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.2
"['Varianza', 'Minima_Ampiezza']",96.8
"['Varianza', 'Minima_Ampiezza', 'CF']",96.59
"['Varianza', 'Minima_Ampiezza', 'rappA/G']",98.38
"['Varianza', 'Minima_Ampiezza', 'rappA/G', 'CF']",97.85
"['Varianza', 'Minima_Ampiezza', 'der']",98.38
