Deviazione_Standard_Pitch,Deviazione_Standard_Roll,Deviazione_Standard_AccelerometerX,Deviazione_Standard_AccelerometerY,Deviazione_Standard_AccelerometerZ,Deviazione_Standard_GyroscopeX,Deviazione_Standard_GyroscopeY,Deviazione_Standard_GyroscopeZ,Massima_Ampiezza_Pitch,Massima_Ampiezza_Roll,Massima_Ampiezza_AccelerometerX,Massima_Ampiezza_AccelerometerY,Massima_Ampiezza_AccelerometerZ,Massima_Ampiezza_GyroscopeX,Massima_Ampiezza_GyroscopeY,Massima_Ampiezza_GyroscopeZ,Minima_Ampiezza_Pitch,Minima_Ampiezza_Roll,Minima_Ampiezza_AccelerometerX,Minima_Ampiezza_AccelerometerY,Minima_Ampiezza_AccelerometerZ,Minima_Ampiezza_GyroscopeX,Minima_Ampiezza_GyroscopeY,Minima_Ampiezza_GyroscopeZ,Ampiezza_Media_Pitch,Ampiezza_Media_Roll,Ampiezza_Media_AccelerometerX,Ampiezza_Media_AccelerometerY,Ampiezza_Media_AccelerometerZ,Ampiezza_Media_GyroscopeX,Ampiezza_Media_GyroscopeY,Ampiezza_Media_GyroscopeZ,TF1,TF2,TF3,TF4,TF5,TF6,rappA/G1,rappA/G2,rappA/G3,Label
9.202505199522363,9.701251842626824,2938.344629499498,3975.853482015184,3712.0318619755417,7169.07755198196,6672.491929153839,8319.783806126117,23.12,-32.52,7776.0,-8010.0,12292.0,18113.0,14343.0,19772.0,-20.81,-88.52,-9238.0,-27696.0,-5926.0,-11185.0,-12137.0,-9678.0,-1.48025,-76.25215,-467.79,-16453.79,199.28,-295.72,142.91,1170.165,6552.0,-16781.999999999996,-2781.9999999999995,18113.0,-3048.9999999999995,17032.999999999996,1.5818679832273772,-115.13393044573507,0.1703007695495934,3
8.398373255828838,7.957274539090144,2482.7999185552367,2951.201083759614,3361.630939658957,6402.260476577765,6236.404967301346,7018.8393410576,18.92,-52.55,5708.0,-11392.0,8494.0,17147.0,11898.0,16388.0,-21.5,-89.56,-7002.0,-24654.0,-5324.0,-11037.0,-12703.0,-8397.0,-1.20765,-77.588,-328.04,-16494.68,97.72,-928.31,512.72,749.73,-2984.0,-12122.0,3194.0000000000005,-937.9999999999995,-6705.0,3346.0,0.3533733343387446,-32.170931502574504,0.1303402558254305,3
10.82504340237565,10.142312272909273,3166.6984019550587,4884.419213454536,3679.405484736023,6662.144176731526,6964.228558703708,7529.893672068903,46.4,-37.08,5214.0,-2046.0,9970.0,16246.0,13217.0,16961.0,-31.1,-88.61,-11590.0,-31498.0,-10076.0,-12527.0,-14108.0,-11513.0,0.1395999999999999,-75.10549999999999,-67.57,-16162.45,-957.75,-573.44,435.815,1045.53,3310.0,-13039.999999999998,1095.9999999999998,5789.0,-10168.0,8737.0,0.1178327287946428,-37.08557530144672,-0.916042581274569,3
8.8940916529828,7.140361447820947,2792.9443971601263,3055.817461973886,3381.672676049487,6880.265576735176,5824.69750657625,6971.099766647856,24.62,-48.3,7140.0,-10246.0,8934.0,18856.0,13699.0,15654.0,-22.16,-89.75,-8194.0,-26388.0,-6490.0,-11407.0,-12029.0,-7261.0,-1.295,-76.95705,-404.08,-16523.97,-369.55,-498.225,226.61,1038.865,-6508.0,-15412.000000000004,7596.0,-7252.999999999999,-3045.9999999999995,-7261.0,0.8110391891213808,-72.91809717135166,-0.3557247573072536,3
10.64433164073205,10.74024527199042,3229.705289167167,4344.581334531765,4131.343368657312,7422.453723255494,6658.918564892451,7711.688304914872,27.23,-31.56,8746.0,-6182.0,11364.0,18721.0,12368.0,17697.0,-25.44,-87.74,-8860.0,-31018.0,-7416.0,-14104.0,-15339.0,-9978.0,-2.40845,-74.0428,-700.08,-16311.85,-95.98,-806.05,388.72,833.48,-6946.0,-25592.0,7702.0,-23.00000000000036,-3912.0,1534.0,0.868531728800943,-41.96298106606297,-0.1151557325910639,3
14.469112518928974,10.810173673524345,5420.234736660628,6708.870092496199,4804.385582624761,7392.580797136135,6781.457151028174,9661.15024157847,32.69,-31.07,11596.0,-3038.0,14966.0,20244.0,16490.0,22636.0,-32.19,-88.82,-14826.0,-32768.0,-10084.0,-12118.0,-17198.0,-15296.0,0.175,-71.02435,-422.15,-17002.46,-180.24,-1324.705,-79.315,208.64,-7226.0,-14268.000000000002,9344.0,-8144.999999999999,-4371.000000000001,-15296.0,0.3186747238064323,214.3662611107609,-0.8638803680981596,3
8.928108664162611,10.378188970578885,2515.645925645356,2429.324103448939,3128.380422557526,6102.441302299849,3500.261037038818,5395.164427149547,16.38,-49.41,4574.0,-11588.0,7800.0,17289.0,8128.0,12803.0,-28.94,-89.27,-8174.0,-22734.0,-2788.0,-8269.0,-7525.0,-7449.0,-9.20445,-74.49664999999999,-2641.17,-15931.28,1873.89,-178.465,492.185,633.4,-2664.0000000000005,-16081.999999999996,-795.9999999999999,-2979.9999999999995,3479.0,-2798.0000000000005,14.799372425965876,-32.36847933195851,2.958462267129776,3
9.162419113836036,9.06794235592352,2763.383241207948,3765.903415259787,3794.550661304449,6680.56155154602,5708.147070007849,6712.944470560152,21.92,-36.54,7134.0,-7808.0,11300.0,13794.0,15208.0,15635.0,-19.48,-89.11,-6422.0,-29232.0,-6240.0,-11150.0,-10033.0,-6603.0,-0.33895,-75.58135,13.13,-16301.64,475.18,-439.935,1722.705,568.75,-3216.0,-16442.0,-3964.0,-5291.0,3734.000000000002,-3996.000000000002,-0.0298453180583495,-9.46281574616664,0.8354813186813187,3
10.93493628457609,11.572735593761552,3425.432159743501,4591.642420713801,4068.310892086956,7594.77500210758,5496.951531848581,7859.580543475069,26.19,-26.82,7840.0,-6122.0,11674.0,20520.0,12438.0,17116.0,-26.3,-89.04,-11210.0,-29382.0,-7356.0,-11199.0,-12088.0,-10411.0,-2.4731,-74.07815000000001,-660.92,-16081.97,91.73,-482.655,546.585,572.915,-184.00000000000043,-22318.0,-4515.999999999999,7416.000000000001,-597.9999999999995,5987.0,1.3693424910132497,-29.422633259236896,0.1601110112320327,3
9.634740225145157,8.264399603968236,3249.1625128909573,3651.053643255553,3961.969645233132,6623.202595383708,5673.332162586215,7826.328227927594,27.28,-56.09,9330.0,-9800.0,9686.0,13591.0,12680.0,16862.0,-21.89,-89.02,-9994.0,-26550.0,-8162.0,-10001.0,-12016.0,-9974.0,-2.5467,-75.44130000000001,-768.3,-16529.76,69.74,-1156.06,-207.61,293.58,-4348.0,-11980.0,6242.0,-6253.0,-5713.999999999997,-9853.0,0.6645848831375534,79.61928616155289,0.2375502418420873,3
